Datetime,L1Hit,L3Hit,Miss,BigMiss,L1Hit2,L3Hit2,Miss2,BigMiss2,StressGT,GT
9:38:25,50,12.5,37.5,0,0,0,87.5,12.5,85.06,0
9:38:25,37.5,0,62.5,0,0,0,100,0,98.6,0
9:38:25,50,25,25,0,0,0,100,0,81.55,0
9:38:25,50,37.5,12.5,0,0,0,87.5,12.5,81.83,0
9:38:25,37.5,62.5,0,0,0,0,100,0,78.31,0
9:38:25,50,0,50,0,0,0,100,0,99.71,0
9:38:25,50,12.5,37.5,0,0,0,87.5,12.5,94.47,0
9:38:25,50,12.5,37.5,0,0,0,100,0,77.98,0
9:38:25,50,12.5,25,12.5,0,0,100,0,85.38,0
9:38:25,50,12.5,37.5,0,0,0,100,0,96.95,0
9:38:25,50,25,25,0,0,0,87.5,12.5,77.77,0
9:38:25,50,12.5,37.5,0,0,0,100,0,77.46,0
9:38:25,50,12.5,37.5,0,0,0,87.5,12.5,80.08,0
9:38:25,50,12.5,37.5,0,0,0,100,0,80.67,0
9:38:25,50,0,50,0,0,0,87.5,12.5,77.49,0
9:38:25,50,0,50,0,0,0,100,0,89.31,0
9:38:25,50,25,25,0,0,0,87.5,12.5,91.93,0
9:38:25,37.5,50,12.5,0,0,0,100,0,94.38,0
9:38:25,50,12.5,37.5,0,0,0,100,0,85.85,0
9:38:25,50,12.5,25,12.5,0,0,75,25,93.83,0
9:38:25,50,12.5,37.5,0,0,0,100,0,88.26,0
9:38:25,50,12.5,37.5,0,0,0,100,0,93.02,0
9:38:25,50,12.5,37.5,0,0,0,100,0,79.3,0
9:38:25,50,25,25,0,0,0,100,0,97.56,0
9:38:25,50,25,25,0,0,0,87.5,12.5,80.46,0
9:38:25,37.5,25,37.5,0,0,0,100,0,96.1,0
9:38:25,50,12.5,37.5,0,0,0,75,25,78.29,0
9:38:25,50,25,25,0,0,0,100,0,88.77,0
9:38:25,50,0,50,0,0,0,100,0,87.09,0
9:38:25,50,0,50,0,0,0,100,0,81.03,0
9:38:25,50,12.5,37.5,0,0,0,100,0,87.59,0
9:38:25,50,37.5,12.5,0,0,0,87.5,12.5,81.76,0
9:38:25,50,25,25,0,0,0,100,0,98.01,0
9:38:25,50,12.5,37.5,0,0,0,87.5,12.5,93.04,0
9:38:25,50,25,25,0,0,0,100,0,87.24,0
9:38:25,50,25,25,0,0,0,87.5,12.5,92.57,0
